,Name,Race,Class,Pronouns,Sexual Preference,Str,Dex,Con,Wis,Int,Session Notes
0, Wyat,Dwarf,Fighter,He/They,Feminine,10,14,13,15,11,
1, Sekyus,Dragonborn,Ranger,They/Them,Either,6,14,9,16,15,
2, Astyn,Hill Dwarf,Sorceror,He/Him,Masculine,14,15,9,10,16,
3, Thomys,Tiefling,Rogue,She/They,Feminine,14,7,15,10,11,
4, Sara,Dwarf,Cleric,He/They,Either,11,15,7,12,12,
5, Nataly,Gnome,Paladin,They/Them,Either,15,12,11,12,15,
6, Isiah,Halfling,Rogue,They/Them,Masculine,14,13,11,14,15,
7, Samual,Gnome,Bard,He/Him,Masculine,10,13,15,10,12,
8, Vinnos,Forest Gnome,Artificer,They/Them,Either,15,17,13,10,13,
9, Aryel,Halfling,Sorceror,She/They,Either,11,15,13,12,12,
10, Chirles,Half-Orc,Druid,He/Him,Masculine,16,12,10,11,12,
11, Hannah,Mountain Dwarf,Barbarian,He/They,Either,13,17,13,12,13,
12, Thomas,Dwarf,Rogue,He/Him,Either,13,12,9,15,15,
13, Amelya,Tiefling,Bard,She/Her,Either,17,10,8,10,9,
14, Scarlotta,Human,Warlock,They/Them,Masculine,16,9,12,9,12,
15, Lailana,Dragonborn,Monk,She/Her,Either,13,14,10,11,9,
16, Miguelos,Forest Gnome,Bard,He/They,Feminine,9,14,15,10,10,
17, Wyaett,Tiefling,Fighter,They/Them,Feminine,16,15,12,16,11,
18, Hanos,High Elf,Artificer,He/Him,Feminine,14,7,13,11,12,
19, Ojin,Human,Artificer,She/They,Feminine,12,10,14,13,11,
20, Rilie,Forest Gnome,Paladin,He/They,Masculine,18,13,15,13,17,
21, Lincono,Drow Elf,Druid,He/Him,Either,14,13,16,6,10,
22, Lailana,Tiefling,Monk,She/Her,Feminine,11,11,8,14,10,
23, Victorus,Stout Halfling,Druid,He/They,Feminine,11,12,12,9,16,
24, Landon,Elf,Warlock,They/Them,Feminine,11,8,10,17,14,
25, Gwyllem,Elf,Fighter,He/They,Masculine,10,9,5,13,12,
26, Liamos,Gnome,Druid,They/Them,Masculine,8,13,9,12,13,
27, Ethan,Human,Rogue,He/Him,Feminine,15,15,15,12,15,
28, Brocalina,Drow Elf,Wizard,They/Them,Feminine,10,11,13,15,11,
29, Rianos,Half-Elf,Bard,They/Them,Feminine,10,16,13,8,7,
30, Loona,Human,Ranger,They/Them,Either,13,16,11,11,11,
31, Alessandro,Human,Ranger,He/They,Masculine,9,9,10,14,12,
32, Melania,Hill Dwarf,Druid,They/Them,Either,15,13,16,13,10,
33, Lippi,Tiefling,Bard,She/Her,Either,11,11,12,5,12,
34, Gwyllem,Elf,Warlock,They/Them,Feminine,10,14,11,13,13,
35, Camila,Rock Gnome,Sorceror,They/Them,Masculine,10,15,16,9,9,
36,Abryia,Half-Orc,Fighter,She/Her,Masculine,6,12,12,10,15,
37, Selyne,Halfling,Ranger,She/Her,Either,15,8,9,14,9,
38, Anyel,Half-Elf,Warlock,He/Him,Masculine,11,12,12,18,17,
39, Jaecoby,High Elf,Ranger,He/They,Feminine,14,9,14,12,11,
40, Roman,Stout Halfling,Fighter,He/Him,Feminine,8,14,11,14,14,
41, Melanja,Elf,Artificer,She/Her,Feminine,11,13,14,15,9,
42, Joeseph,Dragonborn,Rogue,They/Them,Masculine,14,10,17,9,13,
43, Nathylie,Dragonborn,Barbarian,She/They,Feminine,14,10,7,16,18,
44, Zoe,Half-Elf,Cleric,They/Them,Feminine,8,14,13,8,13,
45, Brynden,Rock Gnome,Sorceror,He/Him,Masculine,11,12,11,16,15,
46, Alys,Lightfoot Halfling,Bard,They/Them,Masculine,12,14,12,12,13,
47, Alya,Forest Gnome,Sorceror,She/Her,Feminine,14,13,12,9,15,
48, Levy,Forest Gnome,Monk,He/They,Feminine,10,16,6,14,9,
49, Evanus,Dragonborn,Monk,He/They,Either,12,16,12,6,17,
50, Anjel,Tiefling,Barbarian,He/They,Either,11,11,13,15,13,
51, Lynkus,Halfling,Ranger,He/They,Either,17,14,16,15,9,
52, Mitros,Hill Dwarf,Rogue,They/Them,Feminine,9,15,14,12,10,
53, Alinia,Dwarf,Paladin,They/Them,Either,11,9,10,8,12,
54, Leia,Gnome,Paladin,They/Them,Masculine,7,14,12,15,14,
55, Alysea,Human,Sorceror,She/They,Either,9,12,9,12,14,
56, Maedisa,Mountain Dwarf,Rogue,She/Her,Either,8,16,8,14,12,
57, Eliana,Tiefling,Rogue,They/Them,Feminine,15,10,13,11,9,
58, Vyla,Tiefling,Monk,She/They,Masculine,15,12,13,7,15,
59, Karlus,Human,Warlock,They/Them,Masculine,16,14,12,9,16,
60, Emynwell,Rock Gnome,Cleric,He/Him,Masculine,13,10,8,9,12,
61, Ethyn,Stout Halfling,Paladin,He/Him,Either,11,14,17,7,14,
62, Wyttus,Forest Gnome,Sorceror,He/Him,Masculine,16,13,18,11,13,
63, Madisinia,Hill Dwarf,Paladin,She/They,Feminine,11,13,11,18,15,
64, Luco,Gnome,Rogue,They/Them,Either,12,10,13,9,12,
65, Alinea,High Elf,Fighter,She/Her,Either,12,15,16,9,14,
66, Esro,Lightfoot Halfling,Monk,He/Him,Either,15,16,12,11,9,
67, Bryus,Drow Elf,Artificer,She/They,Either,12,13,9,11,9,
68, Lanya,Rock Gnome,Warlock,They/Them,Masculine,16,14,14,14,11,
69, Lukas,Stout Halfling,Druid,They/Them,Masculine,14,11,15,16,9,
70, Lilia,Hill Dwarf,Fighter,She/They,Either,13,14,8,15,12,
71, Calla,Human,Wizard,She/They,Feminine,12,12,11,14,14,
72, Miglus,Dragonborn,Ranger,She/They,Either,12,12,10,12,14,
73,Abryia,High Elf,Bard,She/They,Masculine,9,16,15,12,16,
74, Andro,Dwarf,Rogue,She/They,Masculine,4,9,14,13,15,
75, Aendro,Dwarf,Rogue,He/Him,Feminine,14,17,17,16,12,
76, Nicola,Tiefling,Wizard,He/They,Either,10,13,13,8,12,
77, Otio,Half-Orc,Sorceror,She/They,Feminine,15,12,12,10,10,
78, Graddos,Stout Halfling,Bard,He/Him,Feminine,15,13,11,13,16,
79, Josyah,Tiefling,Rogue,They/Them,Feminine,14,14,13,10,12,
80, Astono,Drow Elf,Bard,He/Him,Masculine,17,10,7,12,15,
81, Alinea,Dragonborn,Barbarian,They/Them,Feminine,15,15,10,13,11,
82, Mitros,Half-Elf,Cleric,He/Him,Masculine,15,9,13,12,15,
83, Daevo,Human,Sorceror,He/They,Feminine,16,14,13,14,12,
84, Aemma,Dwarf,Ranger,He/They,Either,14,14,8,16,15,
85, Lan,Gnome,Sorceror,He/Him,Either,12,14,13,11,7,
86, Lyana,Mountain Dwarf,Barbarian,She/Her,Feminine,7,16,18,11,8,
87, Theodorus,Wood Elf,Cleric,He/They,Feminine,15,10,8,12,13,
88, Andreya,Dwarf,Cleric,He/They,Masculine,13,15,13,14,15,
89, Laylanna,Forest Gnome,Artificer,They/Them,Either,9,13,14,4,12,
90, Camryn,Mountain Dwarf,Druid,He/They,Masculine,9,11,12,12,10,
91, Elisabet,Dwarf,Barbarian,She/Her,Feminine,16,8,10,15,13,
92, Calla,Half-Orc,Warlock,He/They,Feminine,11,16,12,4,13,
93, Skarye,Mountain Dwarf,Rogue,They/Them,Masculine,11,10,12,13,15,
94, Uenio,Human,Bard,He/Him,Either,12,12,9,8,15,
95, Yago,Drow Elf,Rogue,She/They,Either,16,11,10,15,10,
96, Avyrie,High Elf,Warlock,She/Her,Masculine,15,14,8,16,8,
97, Grassos,Wood Elf,Druid,They/Them,Feminine,8,12,12,16,9,
98, Yvelyn,Human,Ranger,She/Her,Feminine,13,9,16,10,14,
99, Leon,Halfling,Druid,He/Him,Feminine,13,9,8,8,17,
100, Kalja,Tiefling,Fighter,They/Them,Either,10,15,11,9,12,
101, Elia,Half-Orc,Cleric,She/Her,Feminine,14,13,17,11,15,
102, Savanna,Elf,Artificer,She/Her,Either,11,14,12,14,13,
